adjacent_exact_or_range,authoritative_realized_pnl_sum,bucket_count,buckets,buy_usd,cashflow_pnl_before_resolution,city,closed_yes_asset_count,has_transform_events,max_entry_state_payout,max_entry_state_pnl,max_remaining_state_payout,min_entry_state_payout,min_entry_state_pnl,min_remaining_state_payout,net_cost_after_pre_resolution_sells,open_or_unresolved_yes_asset_count,sell_usd,state_model_note,state_model_valid,unequal_share_ratio_entry,unit,weather_date,weather_metric,winner_bucket_labels,winner_in_visible_yes_basket
False,-0.052,1,between 32-33°F,2.3920000000000003,-0.052000000000000046,New York City,1,False,5.2,2.808,0.0,5.2,2.808,0.0,0.052000000000000046,0,2.3400000000000003,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-03,high,between 32-33°F,True
False,-0.0638,1,-6°C or below,0.11599999999999999,-0.0638,Toronto,1,False,5.8,5.684,0.0,5.8,5.684,0.0,0.0638,0,0.052199999999999996,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-03,high,,False
False,-0.33000000000000007,1,23°F or below,0.99,-0.32999999999999996,Chicago,1,False,33.0,32.01,0.0,33.0,32.01,0.0,0.32999999999999996,0,0.66,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-04,high,,False
False,22.9612,1,between 52-53°F,1.0,-0.9788,Dallas,1,True,50.0,49.0,47.88,50.0,49.0,47.88,0.9788,0,0.0212,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-04,high,,False
False,4.7517,1,between 76-77°F,0.30329999999999996,-0.30329999999999996,Miami,1,True,10.11,9.8067,10.11,10.11,9.8067,10.11,0.30329999999999996,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-04,high,,False
False,-1.0,1,32°C,2.0,-1.0,Buenos Aires,1,False,200.0,198.0,0.0,200.0,198.0,0.0,1.0,0,1.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-05,high,,False
False,-2.0,1,5°C,2.0,-2.0,Seoul,1,False,100.0,98.0,100.0,100.0,98.0,100.0,2.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-05,high,,False
False,34.75,1,between 26-27°F,2.0,3.5,New York City,1,True,200.0,198.0,62.5,200.0,198.0,62.5,-3.5,0,5.5,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-06,high,,False
False,-2.0,1,-5°C,2.0,-2.0,Seoul,1,False,200.0,198.0,200.0,200.0,198.0,200.0,2.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-06,high,,False
False,-1.085,1,1°C,2.0,-1.085,Toronto,1,False,200.0,198.0,0.0,200.0,198.0,0.0,1.085,0,0.915,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-06,high,,False
False,8.33,1,between 74-75°F,0.17,-0.17,Miami,1,True,17.0,16.83,17.0,17.0,16.83,17.0,0.17,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-07,high,,False
False,49.0,1,35°C,1.0,-1.0,Buenos Aires,1,True,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-08,high,,False
False,0.6265509999999999,1,11°C,9.87,-9.8577,London,1,True,21.0,11.13,20.97,21.0,11.13,20.97,9.8577,0,0.012299999999999998,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-08,high,11°C,True
False,33.544,1,between 68-69°F,1.0,-0.45599999999999996,Miami,1,True,100.0,99.0,68.0,100.0,99.0,68.0,0.45599999999999996,0,0.544,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-08,high,,False
False,28.258153,1,between 22-23°F,1.0,-0.5767,New York City,1,True,100.0,99.0,57.67,100.0,99.0,57.67,0.5767,0,0.4233,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-08,high,,False
False,-1.0,1,18°C,1.0,-1.0,Wellington,1,False,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-08,high,,False
False,-1.0,1,7°C,1.0,-1.0,Ankara,1,False,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-09,high,,False
False,9.6,1,35°C,0.4,-0.4,Buenos Aires,1,True,20.0,19.6,20.0,20.0,19.6,20.0,0.4,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-09,high,,False
False,42.0616,1,9°C,0.8584,-0.8584,London,1,True,85.84,84.9816,85.84,85.84,84.9816,85.84,0.8584,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-09,high,9°C,True
False,36.705087,1,between 70-71°F,1.0,-1.0,Miami,1,True,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-09,high,,False
False,157.38989299999997,2,23°F or below|between 26-27°F,3.4267,-3.42604,New York City,2,True,230.0,226.5733,229.97,91.67,88.2433,91.67,3.42604,0,0.0006599999999999999,non_overlapping_yes_buckets,True,2.508999672739173,F,2026-02-09,high,,False
False,48.5,2,4°C|5°C or higher,2.0,-1.5,Seoul,2,True,100.0,98.0,100.0,100.0,98.0,0.0,1.5,0,0.5,non_overlapping_yes_buckets,True,1.0,C,2026-02-09,high,,False
False,-0.09999999999999999,1,-9°C,1.0,-0.10000000000000009,Toronto,1,False,10.0,9.0,0.0,10.0,9.0,0.0,0.10000000000000009,0,0.8999999999999999,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-09,high,,False
False,48.0,2,3°C|5°C,2.0,-2.0,Ankara,2,True,100.0,98.0,100.0,100.0,98.0,100.0,2.0,0,0.0,non_overlapping_yes_buckets,True,1.0,C,2026-02-10,high,,False
False,72.61065500000001,3,between 62-63°F|between 68-69°F|between 70-71°F,2.52,-1.9141,Dallas,3,True,100.0,97.48,97.05,52.0,49.48,0.0,1.9141,0,0.6059,non_overlapping_yes_buckets,True,1.9230769230769231,F,2026-02-10,high,,False
False,39.990174,1,between 72-73°F,0.816126,-0.816126,Miami,1,True,81.6126,80.796474,81.6126,81.6126,80.796474,81.6126,0.816126,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-10,high,,False
False,-1.0,1,2°C,1.0,-1.0,Seoul,1,False,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-10,high,,False
True,83.0112,3,4°C|5°C|6°C,3.4588,-3.4588,Ankara,3,True,100.0,96.5412,100.0,72.94,69.4812,72.94,3.4588,0,0.0,non_overlapping_yes_buckets,True,1.3709898546750754,C,2026-02-11,high,,False
False,146.1806,3,8°C or below|9°C|11°C,3.0,-2.9694,London,3,True,100.0,97.0,100.0,100.0,97.0,98.3,2.9694,0,0.030599999999999995,non_overlapping_yes_buckets,True,1.0,C,2026-02-11,high,,False
True,70.14625799999999,3,between 34-35°F|between 36-37°F|between 38-39°F,3.5771360000000003,-3.1055760014060003,New York City,3,True,177.99,174.412864,100.0,79.7236,76.14646400000001,66.79,3.1055760014060003,0,0.471559998594,non_overlapping_yes_buckets,True,2.2325885935908563,F,2026-02-11,high,,False
False,41.15048600000001,1,6°C or higher,4.999998996407598,-4.4997989964075975,Seoul,1,True,191.341589,186.3415900035924,91.30158899999999,191.341589,186.3415900035924,91.30158899999999,4.4997989964075975,0,0.5002000000000001,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-11,high,,False
False,29.04,1,2°C or higher,1.0,-0.96,Toronto,1,True,100.0,99.0,60.0,100.0,99.0,60.0,0.96,0,0.04,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-11,high,,False
False,-0.7,1,19°C,1.0,-0.7,Wellington,1,False,100.0,99.0,0.0,100.0,99.0,0.0,0.7,0,0.3,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-11,high,,False
False,48.92770000000001,1,29°F or below,1.144602,-1.0723019999999999,Chicago,1,True,114.4602,113.315598,100.0002,114.4602,113.315598,100.0002,1.0723019999999999,0,0.0723,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-12,high,,False
False,49.0,1,69°F or below,1.0,-1.0,Dallas,1,True,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-12,high,,False
False,48.99755,1,86°F or higher,1.0,-1.0,Miami,1,True,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-12,high,,False
False,-0.5,1,between 54-55°F,1.0,-0.5,Atlanta,1,False,100.0,99.0,0.0,100.0,99.0,0.0,0.5,0,0.5,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-13,high,,False
True,3.5797,2,between 64-65°F|between 66-67°F,2.0,-1.4702899999999999,Dallas,2,True,100.0,98.0,10.099999999999994,100.0,98.0,0.0,1.4702899999999999,0,0.52971,non_overlapping_yes_buckets,True,1.0,F,2026-02-13,high,,False
True,47.80006,2,between 38-39°F|between 40-41°F,2.999705,-2.199945,Seattle,2,True,100.0,97.000295,100.0,99.9705,96.970795,0.0005000000000023874,2.199945,0,0.79976,non_overlapping_yes_buckets,True,1.00029508705068,F,2026-02-13,high,,False
True,122.4951,2,4°C|5°C,2.5,-2.5,Seoul,2,True,150.0,147.5,150.0,100.0,97.5,100.0,2.5,0,0.0,non_overlapping_yes_buckets,True,1.5,C,2026-02-13,high,,False
False,14.29,1,9°C,1.0,-1.0,Ankara,1,True,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-14,high,,False
False,137.151295,1,8°C,6.738940000855999,-6.738940000855999,London,1,True,287.78,281.04105999914395,287.78,287.78,281.04105999914395,287.78,6.738940000855999,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-14,high,,False
False,1009.87915,3,4°C|10°C|11°C or higher,19.229297999824002,935.0862120304009,Seoul,3,True,1191.88,1172.6507020001761,77.5838,33.81,14.580702000176,0.0,-935.0862120304009,0,954.3155100302249,non_overlapping_yes_buckets,True,35.252292221236324,C,2026-02-14,high,11°C or higher,True
False,1.6661480000000002,2,28°C|30°C,215.340866,-215.340866,Buenos Aires,2,False,217.007,1.6661339999999996,217.007,100.0,-115.340866,100.0,215.340866,0,0.0,non_overlapping_yes_buckets,True,2.17007,C,2026-02-15,high,30°C,True
False,49.0,1,between 42-43°F,1.0,-1.0,Chicago,1,True,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-15,high,,False
False,155.12068599999998,4,6°C|7°C|11°C|12°C or higher,10.7656680005,5.236971986459,London,4,True,799.983875,789.2182069995,299.76939999999996,5.0,-5.7656680005,0.0,-5.236971986459,0,16.002639986959,non_overlapping_yes_buckets,True,159.996775,C,2026-02-15,high,,False
False,-2.480525,1,33°C,2.488,-2.48053,Sao Paulo,1,False,7.470000000000001,4.982000000000001,8.881784197001252e-16,7.470000000000001,4.982000000000001,8.881784197001252e-16,2.48053,0,0.00747,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-15,high,,False
False,146.997942,2,1°C or below|2°C,2.999958,-2.999958,Seoul,2,True,200.0,197.000042,200.0,99.9958,96.995842,99.9958,2.999958,0,0.0,non_overlapping_yes_buckets,True,2.000084003528148,C,2026-02-15,high,,False
False,18.6731,1,2°C,1.1919,-1.1919,Toronto,1,True,39.730000000000004,38.53810000000001,39.730000000000004,39.730000000000004,38.53810000000001,39.730000000000004,1.1919,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-15,high,,False
False,87.85528,4,28°C or below|32°C|33°C|34°C,21.627900999999998,44.220238998,Buenos Aires,4,True,114.0,92.372099,87.27010000000001,40.0,18.372099000000002,0.0,-44.220238998,0,65.848139998,non_overlapping_yes_buckets,True,2.85,C,2026-02-16,high,33°C,True
False,10.995568999999998,4,8°C|10°C|11°C|12°C or higher,35.594359002010144,10.99523099798985,London,4,False,316.666666,281.07230699798987,94.6,40.0,4.405640997989856,0.0,-10.99523099798985,0,46.589589999999994,non_overlapping_yes_buckets,True,7.916666650000001,C,2026-02-16,high,10°C,True
False,12.0,1,between 36-37°F,3.0,12.0,New York City,1,False,30.0,27.0,0.0,30.0,27.0,0.0,-12.0,0,15.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-16,high,,False
False,-1.0,1,9°C,1.0,-1.0,Paris,1,False,100.0,99.0,100.0,100.0,99.0,100.0,1.0,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-16,high,,False
True,-4.6022,3,31°C|32°C|33°C,22.446931000000003,-4.607931000000004,Buenos Aires,3,False,74.98331,52.536379,0.010000000000001563,18.67,-3.776931000000001,0.0,4.607931000000004,0,17.839,non_overlapping_yes_buckets,True,4.016245848955544,C,2026-02-17,high,31°C,True
False,2.2788,1,8°C,6.617,2.2788000000000013,London,1,False,92.0,85.383,52.0,92.0,85.383,52.0,-2.2788000000000013,0,8.895800000000001,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-17,high,,False
False,75.32742,1,12°C or higher,3.876461,-3.8376609999999998,Paris,1,True,162.21305,158.336589,158.33305000000001,162.21305,158.336589,158.33305000000001,3.8376609999999998,0,0.0388,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-17,high,,False
False,-20.019813,1,33°C,20.02,-20.02,Sao Paulo,1,False,121.0,100.98,121.0,121.0,100.98,121.0,20.02,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-17,high,,False
False,34.95621,1,0°C,0.99,-0.98879,Toronto,1,True,72.0,71.01,71.89,72.0,71.01,71.89,0.98879,0,0.00121,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-17,high,,False
False,0.8517649999999999,1,36°C,2.46638,0.85168,Buenos Aires,1,False,65.06,62.59362,0.0,65.06,62.59362,0.0,-0.85168,0,3.31806,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-18,high,,False
False,62.266168,1,8°C,2.729832,-2.729832,London,1,True,129.992,127.26216799999999,129.992,129.992,127.26216799999999,129.992,2.729832,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-18,high,,False
True,6.78,3,31°C|32°C|33°C,7.9,6.779999999999999,Sao Paulo,3,False,50.0,42.1,0.0,5.75,-2.1500000000000004,0.0,-6.779999999999999,0,14.68,non_overlapping_yes_buckets,True,8.695652173913043,C,2026-02-18,high,31°C,True
False,-0.9,1,7°C,1.0,-0.9,Seoul,1,False,50.0,49.0,0.0,50.0,49.0,0.0,0.9,0,0.1,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-18,high,,False
True,-2.466,2,6°C|7°C,3.016,-2.466,Ankara,2,False,50.0,46.984,12.6,12.6,9.584,0.0,2.466,0,0.5499999999999999,non_overlapping_yes_buckets,True,3.9682539682539684,C,2026-02-19,high,,False
True,2.9622,3,31°C|32°C|33°C,17.0206,-8.767800000000003,Buenos Aires,3,True,43.37,26.349399999999996,9.64,9.23,-7.790600000000001,4.999999999999993,8.767800000000003,0,8.252799999999999,non_overlapping_yes_buckets,True,4.698808234019501,C,2026-02-19,high,32°C,True
False,5.294851,3,between 78-79°F|between 80-81°F|82°F or higher,10.489228,-0.7072099998767154,Dallas,3,False,74.9952,64.505972,6.0,6.0,-4.489228000000001,0.005200000000002092,0.7072099998767154,0,9.782018000123285,non_overlapping_yes_buckets,True,12.4992,F,2026-02-19,high,between 78-79°F,True
False,-4.737784,1,between 84-85°F,7.5725999999999996,-4.737800000627999,Miami,1,False,38.06,30.4874,0.0,38.06,30.4874,0.0,4.737800000627999,0,2.834799999372,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-19,high,,False
False,-0.6606,1,between 38-39°F,2.4956,-0.6606000000000001,New York City,1,False,7.34,4.8444,0.0,7.34,4.8444,0.0,0.6606000000000001,0,1.835,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-19,high,,False
False,-0.175,1,33°C or higher,0.25,-0.175,Sao Paulo,1,False,25.0,24.75,0.0,25.0,24.75,0.0,0.175,0,0.075,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-19,high,,False
False,-0.46,1,3°C,0.45999999999999996,-0.45999999999999996,Seoul,1,False,20.0,19.54,20.0,20.0,19.54,20.0,0.45999999999999996,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-19,high,,False
False,-4.75,1,32°C,5.0,-4.75,Buenos Aires,1,False,25.0,20.0,0.0,25.0,20.0,0.0,4.75,0,0.25,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-20,high,,False
True,-4.153412,2,between 84-85°F|between 86-87°F,4.153689997173478,-4.153689997173478,Miami,2,False,150.320909,146.16721900282653,150.320909,20.0,15.846310002826522,20.0,4.153689997173478,0,0.0,non_overlapping_yes_buckets,True,7.51604545,F,2026-02-20,high,,False
False,16.388369,3,32°C|33°C|34°C or higher,40.89999900108841,16.38387099823359,Sao Paulo,3,False,166.849053,125.94905399891158,0.009996000000001004,55.869996,14.96999699891159,0.0,-16.38387099823359,0,57.283869999322,non_overlapping_yes_buckets,True,2.986380256766082,C,2026-02-20,high,32°C,True
False,39.048266,2,8°C|11°C or higher,18.088547007770813,-10.949347000398813,Seoul,2,False,353.96,335.87145299222914,49.997646,49.997646,31.90909899222919,0.0,10.949347000398813,0,7.139200007372,non_overlapping_yes_buckets,True,7.079533304427971,C,2026-02-20,high,11°C or higher,True
False,-6.0143,2,14°C|15°C or higher,6.194309999117,-6.014309999117001,Ankara,2,False,50.0,43.805690000883,50.0,30.0,23.805690000883,0.0,6.014309999117001,0,0.18,non_overlapping_yes_buckets,True,1.6666666666666667,C,2026-02-21,high,,False
True,17.27902,3,31°C|32°C|33°C,18.5888,-17.9042,Buenos Aires,3,False,35.18,16.5912,35.18,20.0,1.411200000000001,0.0,17.9042,0,0.6846000000000001,non_overlapping_yes_buckets,True,1.759,C,2026-02-21,high,31°C,True
False,26.0944,2,29°F or below|between 30-31°F,3.9055999999999997,-3.9055999999999997,Chicago,2,False,30.0,26.0944,30.0,28.48,24.5744,28.48,3.9055999999999997,0,0.0,non_overlapping_yes_buckets,True,1.053370786516854,F,2026-02-21,high,29°F or below,True
False,6.4355,1,between 62-63°F,2.532,6.435500000000001,Dallas,1,False,10.55,8.018,0.0,10.55,8.018,0.0,-6.435500000000001,0,8.967500000000001,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-21,high,between 62-63°F,True
True,-2.625,2,between 48-49°F|between 50-51°F,4.625,-2.625,New York City,2,False,40.0,35.375,15.0,15.0,10.375,0.0,2.625,0,2.0,non_overlapping_yes_buckets,True,2.6666666666666665,F,2026-02-21,high,,False
False,-7.121599,2,30°C|31°C or higher,9.1461,-7.126800000000001,Sao Paulo,2,False,67.31,58.1639,0.03,0.03,-9.116100000000001,0.0,7.126800000000001,0,2.0193,non_overlapping_yes_buckets,True,2243.666666666667,C,2026-02-21,high,,False
False,0.575155,1,32°C,10.6,0.5750000000000011,Buenos Aires,1,False,175.0,164.4,0.0,175.0,164.4,0.0,-0.5750000000000011,0,11.175,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-22,high,,False
True,3.613249,2,15°C|16°C,16.459,3.6125099956040003,London,2,False,330.0,313.541,0.0,43.53,27.071,0.0,-3.6125099956040003,0,20.071509995604,non_overlapping_yes_buckets,True,7.580978635423845,C,2026-02-22,high,,False
True,33.763125,3,between 88-89°F|between 90-91°F|between 92-93°F,23.6937,33.763249997,Miami,3,False,205.0,181.3063,0.0,59.97,36.2763,0.0,-33.763249997,0,57.456949997,non_overlapping_yes_buckets,True,3.4183758545939638,F,2026-02-22,high,between 88-89°F,True
False,86.467439,4,27°C|28°C|29°C|30°C or higher,27.560429999484477,-26.971369997874476,Sao Paulo,4,True,191.877065,164.3166350005155,191.877065,17.5,-10.060429999484477,0.0,26.971369997874476,0,0.58906000161,non_overlapping_yes_buckets,True,10.964403714285714,C,2026-02-22,high,27°C,True
False,-1.2,2,6°C|9°C,2.88,-1.2001199999999999,Ankara,2,False,100.0,97.12,100.0,21.0,18.12,0.0015000000000000568,1.2001199999999999,0,1.67988,non_overlapping_yes_buckets,True,4.761904761904762,C,2026-02-23,high,,False
False,-2.02941,1,between 42-43°F,3.75,-2.0293999995,Atlanta,1,False,15.0,11.25,0.0,15.0,11.25,0.0,2.0293999995,0,1.7206000005,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-23,high,,False
False,0.14826,1,between 62-63°F,0.447,0.14795999999999992,Dallas,1,False,14.9,14.453000000000001,0.010000000000001563,14.9,14.453000000000001,0.010000000000001563,-0.14795999999999992,0,0.5949599999999999,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-23,high,,False
False,14.584045,1,36°F or higher,19.6678,-10.415999998344999,New York City,1,False,108.21000000000001,88.54220000000001,25.0,108.21000000000001,88.54220000000001,25.0,10.415999998344999,0,9.251800001655,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-23,high,36°F or higher,True
False,-1.144,1,28°C,1.1440000000000001,-1.1440000000000001,Sao Paulo,1,False,10.4,9.256,10.4,10.4,9.256,10.4,1.1440000000000001,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-23,high,,False
False,48.850011,1,16°C,0.996939,-0.996939,Wellington,1,True,99.6939,98.696961,99.6939,99.6939,98.696961,99.6939,0.996939,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-23,high,,False
True,17.078573000000002,4,6°C|7°C|8°C|9°C,19.99171200039265,-4.030682001320647,Ankara,4,False,44.63,24.638287999607353,21.109088,15.0,-4.991712000392649,0.0,4.030682001320647,0,15.961029999072002,non_overlapping_yes_buckets,True,2.9753333333333334,C,2026-02-24,high,8°C,True
False,-13.958779,1,35°C,13.960512,-13.960512,Buenos Aires,1,False,699.8636,685.903088,699.8636,699.8636,685.903088,699.8636,13.960512,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-24,high,,False
False,-1.912,1,5°C,1.9120000000000001,-1.9120000000000001,Ankara,1,False,19.12,17.208000000000002,19.12,19.12,17.208000000000002,19.12,1.9120000000000001,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-25,high,,False
False,29.384169000000007,3,18°C|19°C|20°C or higher,14.71445,29.381149999288,London,3,False,46.269999999999996,31.555549999999997,46.269999999999996,19.990000000000002,5.275550000000003,0.0,-29.381149999288,0,44.095599999288,non_overlapping_yes_buckets,True,2.3146573286643317,C,2026-02-25,high,19°C,True
False,-0.82415,1,30°C,1.0,-0.82413,Sao Paulo,1,False,50.0,49.0,0.0,50.0,49.0,0.0,0.82413,0,0.17587,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-25,high,,False
False,-15.698674,3,11°C|13°C|14°C or higher,15.699658000000001,-15.699658000000001,Seoul,3,False,379.98290000000003,364.28324200000003,379.98290000000003,10.0,-5.699658000000001,10.0,15.699658000000001,0,0.0,non_overlapping_yes_buckets,True,37.998290000000004,C,2026-02-25,high,,False
False,1.4,1,3°C,2.4,1.4,Ankara,1,False,20.0,17.6,0.0,20.0,17.6,0.0,-1.4,0,3.8,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-26,high,,False
True,30.113265,3,29°C|30°C|31°C,11.165859,30.113291000399997,Buenos Aires,3,False,70.0,58.834141,70.0,42.4,31.234141,0.0,-30.113291000399997,0,41.279150000399994,non_overlapping_yes_buckets,True,1.650943396226415,C,2026-02-26,high,29°C,True
True,68.897754,2,between 38-39°F|between 40-41°F,23.981181,68.89661700045852,Chicago,2,False,120.16405,96.18286900000001,10.20405000000001,104.03999999999999,80.058819,0.006471999999988043,-68.89661700045852,0,92.87779800045851,non_overlapping_yes_buckets,True,1.1549793348712034,F,2026-02-26,high,between 40-41°F,True
False,-8.600238,1,20°C,8.600309,-8.600309,Paris,1,False,105.0103,96.409991,105.0103,105.0103,96.409991,105.0103,8.600309,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-26,high,,False
False,3.9440890000000004,5,28°C or below|29°C|30°C|31°C|32°C,141.97502099508264,3.9431390041013685,Buenos Aires,5,False,164.8,22.824979004917367,0.00771899999999448,23.43,-118.54502099508264,0.0,-3.9431390041013685,0,145.918159999184,non_overlapping_yes_buckets,True,7.033717456252668,C,2026-02-27,high,29°C,True
